ts,open,high,low,close,volume
1783758120000,64223.4,64223.4,64219.6,64220.9,4.8519
1783758180000,64220.9,64224.6,64220.9,64224.6,12.4754
1783758240000,64224.6,64224.6,64221.0,64224.1,7.4303
1783758300000,64224.0,64230.0,64224.0,64227.2,8.4271
1783758360000,64227.1,64227.2,64221.2,64221.3,8.2965
1783758420000,64221.3,64222.0,64221.0,64221.0,5.8439
1783758480000,64221.1,64221.1,64221.0,64221.0,2.3659
1783758540000,64221.1,64222.0,64220.9,64221.0,6.3871
1783758600000,64220.9,64221.0,64220.9,64220.9,2.0194
1783758660000,64221.0,64221.0,64210.0,64210.0,25.5685
1783758720000,64210.0,64218.3,64208.2,64218.2,4.6273
1783758780000,64218.3,64225.7,64218.2,64225.6,7.9651
1783758840000,64225.6,64225.7,64225.6,64225.7,5.0556
1783758900000,64225.7,64233.4,64225.6,64233.3,5.4642
1783758960000,64233.4,64233.4,64220.5,64229.6,5.9206
1783759020000,64229.7,64236.1,64229.6,64233.3,28.5588
1783759080000,64233.3,64233.4,64223.2,64223.2,7.2792
1783759140000,64223.2,64223.3,64223.2,64223.2,3.2012
1783759200000,64223.2,64277.0,64223.2,64274.3,87.6929
1783759260000,64274.3,64274.4,64249.1,64258.5,32.4275
1783759320000,64258.5,64260.0,64235.7,64241.7,14.3628
1783759380000,64241.7,64262.8,64241.6,64262.8,9.9882
1783759440000,64262.8,64262.8,64253.9,64253.9,8.6087
1783759500000,64253.9,64253.9,64253.8,64253.8,4.5114
1783759560000,64253.8,64253.9,64234.9,64234.9,12.4629
1783759620000,64234.9,64235.0,64230.4,64230.4,4.9564
1783759680000,64230.4,64230.5,64230.4,64230.4,6.4455
1783759740000,64230.5,64230.5,64215.0,64215.0,9.9407
1783759800000,64215.0,64215.1,64200.7,64204.5,11.4031
1783759860000,64204.5,64204.7,64204.5,64204.7,4.5681
1783759920000,64204.7,64204.7,64204.6,64204.6,3.2003
1783759980000,64204.6,64215.0,64204.6,64214.9,11.8296
1783760040000,64215.0,64232.0,64214.9,64227.6,13.3145
1783760100000,64227.6,64235.0,64225.6,64225.8,19.5886
1783760160000,64225.9,64235.2,64225.8,64228.5,5.6652
1783760220000,64228.6,64228.6,64228.5,64228.5,2.1105
1783760280000,64228.5,64228.6,64228.5,64228.5,3.1337
1783760340000,64228.6,64240.0,64228.5,64239.9,5.3511
1783760400000,64239.9,64239.9,64233.4,64236.6,17.7679
1783760460000,64236.6,64236.7,64228.6,64228.6,5.1835
1783760520000,64228.6,64238.7,64228.6,64238.7,3.5785
1783760580000,64238.7,64250.0,64238.7,64246.3,9.1853
1783760640000,64246.2,64246.3,64243.7,64243.7,2.5816
1783760700000,64243.7,64243.7,64241.4,64241.4,2.1579
1783760760000,64241.4,64241.5,64239.4,64239.4,5.4857
1783760820000,64239.5,64239.5,64231.9,64231.9,3.545
1783760880000,64231.9,64232.0,64220.6,64220.7,5.6302
1783760940000,64220.6,64230.7,64216.9,64225.7,12.4135
1783761000000,64225.6,64230.6,64223.1,64230.6,7.8262
1783761060000,64230.6,64230.6,64214.9,64214.9,14.1045
1783761120000,64214.9,64215.0,64206.5,64206.5,6.0678
1783761180000,64206.5,64206.5,64192.9,64192.9,12.4308
1783761240000,64192.9,64193.0,64183.7,64189.0,9.3942
1783761300000,64188.9,64213.1,64188.9,64213.0,24.0569
1783761360000,64213.1,64216.4,64213.0,64216.3,4.3139
1783761420000,64216.4,64216.4,64216.3,64216.4,1.0937
1783761480000,64216.4,64221.9,64216.0,64216.0,2.5084
1783761540000,64216.0,64216.1,64208.3,64208.3,1.8404
1783761600000,64208.4,64208.4,64208.3,64208.4,1.8903
1783761660000,64208.3,64208.4,64202.2,64202.2,9.9937
1783761720000,64202.2,64210.0,64202.2,64209.9,6.2711
1783761780000,64209.9,64222.0,64209.9,64221.9,4.0037
1783761840000,64221.9,64231.7,64221.9,64231.6,12.7897
1783761900000,64231.7,64231.7,64231.6,64231.6,1.4717
1783761960000,64231.7,64243.7,64231.6,64232.8,30.7732
1783762020000,64232.9,64232.9,64232.8,64232.8,6.1108
1783762080000,64232.9,64232.9,64232.8,64232.9,1.8905
1783762140000,64232.9,64247.3,64232.8,64247.3,40.5179
1783762200000,64247.4,64253.0,64247.3,64252.9,9.6458
1783762260000,64252.9,64270.0,64252.9,64269.9,38.5826
1783762320000,64269.9,64270.0,64232.8,64232.8,44.5865
1783762380000,64232.8,64232.9,64226.5,64226.6,16.1098
1783762440000,64226.5,64226.6,64189.3,64201.1,45.4918
1783762500000,64201.1,64209.7,64201.0,64205.3,7.3718
1783762560000,64205.4,64216.2,64205.3,64216.1,3.0751
1783762620000,64216.2,64234.7,64216.1,64234.7,16.4838
1783762680000,64234.8,64234.8,64234.7,64234.7,2.9262
1783762740000,64234.7,64254.9,64234.7,64248.5,25.4786
