ts,open_interest,oi_volume,datetime_utc
1783636500000,277978362.9678,640886.1609,2026-07-09 22:35:00+00:00
1783636800000,277911433.7027,306170.1634,2026-07-09 22:40:00+00:00
1783637100000,277853228.4972,598975.1668,2026-07-09 22:45:00+00:00
1783637400000,277885198.2714,304090.5064,2026-07-09 22:50:00+00:00
1783637700000,278007200.2268,1083206.1482,2026-07-09 22:55:00+00:00
1783638000000,277894184.5441,455690.1608,2026-07-09 23:00:00+00:00
1783638300000,277896692.1815,289072.1834,2026-07-09 23:05:00+00:00
1783638600000,278008298.9056,475362.8503,2026-07-09 23:10:00+00:00
1783638900000,277939199.7459,285070.3218,2026-07-09 23:15:00+00:00
1783639200000,277849039.6859,1877060.7081,2026-07-09 23:20:00+00:00
1783639500000,277452716.9453,2023906.6487,2026-07-09 23:25:00+00:00
1783639800000,277171910.416,1691671.9079,2026-07-09 23:30:00+00:00
1783640100000,277171974.7638,292804.9146,2026-07-09 23:35:00+00:00
1783640400000,277349330.8874,664130.6713,2026-07-09 23:40:00+00:00
1783640700000,277422866.8787,389207.9531,2026-07-09 23:45:00+00:00
1783641000000,277457896.5715,286476.6758,2026-07-09 23:50:00+00:00
1783641300000,277495003.3621,366381.8941,2026-07-09 23:55:00+00:00
1783641600000,277495003.3621,326255.4694,2026-07-10 00:00:00+00:00
1783641900000,277112354.8153,1592943.8149,2026-07-10 00:05:00+00:00
1783642200000,277238682.2025,967202.4669,2026-07-10 00:10:00+00:00
1783642500000,277484464.3581,1370475.7011,2026-07-10 00:15:00+00:00
1783642800000,277351953.8483,1138167.431,2026-07-10 00:20:00+00:00
1783643100000,277073933.6014,1299924.7616,2026-07-10 00:25:00+00:00
1783643400000,276950059.3235,962523.9688,2026-07-10 00:30:00+00:00
1783643700000,277028843.1014,3343747.7847,2026-07-10 00:35:00+00:00
1783644000000,276406115.5741,2103435.1863,2026-07-10 00:40:00+00:00
1783644300000,276168113.1177,1562868.2331,2026-07-10 00:45:00+00:00
1783644600000,275961285.9584,808290.6287,2026-07-10 00:50:00+00:00
1783644900000,276081723.0309,717047.8791,2026-07-10 00:55:00+00:00
1783645200000,276209241.2747,1121126.4841,2026-07-10 01:00:00+00:00
1783645500000,276114312.9511,695078.8204,2026-07-10 01:05:00+00:00
1783645800000,276223173.0445,847193.0087,2026-07-10 01:10:00+00:00
1783646100000,276108346.7023,1595776.2067,2026-07-10 01:15:00+00:00
1783646400000,275157181.2573,7155664.8246,2026-07-10 01:20:00+00:00
1783646700000,274915784.8659,6548673.0678,2026-07-10 01:25:00+00:00
1783647000000,275009331.0471,1201753.2487,2026-07-10 01:30:00+00:00
1783647300000,274876562.4258,1743620.1578,2026-07-10 01:35:00+00:00
1783647600000,275128819.1936,1600591.6131,2026-07-10 01:40:00+00:00
1783647900000,275175832.4767,823204.5952,2026-07-10 01:45:00+00:00
1783648200000,270471703.1752,31749582.6249,2026-07-10 01:50:00+00:00
1783648500000,269551697.7462,12324534.8259,2026-07-10 01:55:00+00:00
1783648800000,270224639.2823,4123749.8942,2026-07-10 02:00:00+00:00
1783649100000,270472406.132,5741441.396,2026-07-10 02:05:00+00:00
1783649400000,269877259.9657,3150062.5717,2026-07-10 02:10:00+00:00
1783649700000,270147568.3139,4707354.8896,2026-07-10 02:15:00+00:00
1783650000000,270021302.4233,2344644.9594,2026-07-10 02:20:00+00:00
1783650300000,269596957.3849,2964648.3198,2026-07-10 02:25:00+00:00
1783650600000,269630904.5412,1112607.7385,2026-07-10 02:30:00+00:00
1783650900000,270272218.5853,2535948.1767,2026-07-10 02:35:00+00:00
1783651200000,270094448.9105,1330068.2471,2026-07-10 02:40:00+00:00
1783651500000,270030219.9356,673095.7089,2026-07-10 02:45:00+00:00
1783651800000,270096141.6535,1658328.4905,2026-07-10 02:50:00+00:00
1783652100000,270288339.351,1942414.4883,2026-07-10 02:55:00+00:00
1783652400000,270285741.9637,1396189.4879,2026-07-10 03:00:00+00:00
1783652700000,269974333.3405,1946886.5951,2026-07-10 03:05:00+00:00
1783653000000,269597325.1394,1681964.9973,2026-07-10 03:10:00+00:00
1783653300000,269925524.9113,2103922.2533,2026-07-10 03:15:00+00:00
1783653600000,269895235.4656,2045931.8446,2026-07-10 03:20:00+00:00
1783653900000,269628261.707,1865311.2519,2026-07-10 03:25:00+00:00
