ts,open_interest,oi_volume,datetime_utc
1783703700000,2525977753.9546,14583344.1039,2026-07-10 17:15:00+00:00
1783704000000,2526858226.071,8484081.2018,2026-07-10 17:20:00+00:00
1783704300000,2563182445.5087,13415175.6784,2026-07-10 17:25:00+00:00
1783704600000,2563352628.5825,6857623.8909,2026-07-10 17:30:00+00:00
1783704900000,2565186427.4848,12323827.2876,2026-07-10 17:35:00+00:00
1783705200000,2565763684.0177,5274446.1257,2026-07-10 17:40:00+00:00
1783705500000,2566183951.47,8595313.0128,2026-07-10 17:45:00+00:00
1783705800000,2566408373.7226,6164603.1608,2026-07-10 17:50:00+00:00
1783706100000,2566388753.451,6952611.8206,2026-07-10 17:55:00+00:00
1783706400000,2566923114.0263,13910232.7163,2026-07-10 18:00:00+00:00
1783706700000,2566212686.7786,7862797.3296,2026-07-10 18:05:00+00:00
1783707000000,2565871881.5691,3716258.2181,2026-07-10 18:10:00+00:00
1783707300000,2567693947.0747,16808416.3135,2026-07-10 18:15:00+00:00
1783707600000,2567661818.1483,5835309.1278,2026-07-10 18:20:00+00:00
1783707900000,2566967777.0904,5313287.2297,2026-07-10 18:25:00+00:00
1783708200000,2570318377.6409,14921076.9766,2026-07-10 18:30:00+00:00
1783708500000,2570381335.7193,5882031.8198,2026-07-10 18:35:00+00:00
1783708800000,2564859277.727,9380736.3854,2026-07-10 18:40:00+00:00
1783709100000,2564744774.7319,2478447.8112,2026-07-10 18:45:00+00:00
1783709400000,2564072142.1687,3560791.4361,2026-07-10 18:50:00+00:00
1783709700000,2558900491.5376,29097768.651,2026-07-10 18:55:00+00:00
1783710000000,2559227835.8808,10130780.7488,2026-07-10 19:00:00+00:00
1783710300000,2559666835.5037,5210724.4772,2026-07-10 19:05:00+00:00
1783710600000,2560251903.5134,5189463.6816,2026-07-10 19:10:00+00:00
1783710900000,2560324099.5203,9223416.5233,2026-07-10 19:15:00+00:00
1783711200000,2563640469.1848,13724216.4051,2026-07-10 19:20:00+00:00
1783711500000,2564155533.2577,12083458.7787,2026-07-10 19:25:00+00:00
1783711800000,2564128839.1437,4266353.193,2026-07-10 19:30:00+00:00
1783712100000,2556472969.8691,30119157.0068,2026-07-10 19:35:00+00:00
1783712400000,2558327312.1104,19972205.7016,2026-07-10 19:40:00+00:00
1783712700000,2557277547.1988,7862169.4859,2026-07-10 19:45:00+00:00
1783713000000,2556931058.5126,6665148.3872,2026-07-10 19:50:00+00:00
1783713300000,2558819548.5062,9716475.6508,2026-07-10 19:55:00+00:00
1783713600000,2557202521.4705,26537773.9601,2026-07-10 20:00:00+00:00
1783713900000,2556066813.376,7808732.0196,2026-07-10 20:05:00+00:00
1783714200000,2554993045.9379,6408550.4096,2026-07-10 20:10:00+00:00
1783714500000,2554134947.0156,4372632.0868,2026-07-10 20:15:00+00:00
1783714800000,2552631256.7501,10816172.6835,2026-07-10 20:20:00+00:00
1783715100000,2546746008.6705,68546261.2192,2026-07-10 20:25:00+00:00
1783715400000,2549673255.9861,29981658.6572,2026-07-10 20:30:00+00:00
1783715700000,2548018888.5929,16850240.4829,2026-07-10 20:35:00+00:00
1783716000000,2547358168.9254,7899629.3963,2026-07-10 20:40:00+00:00
1783716300000,2547402858.0146,4292092.2143,2026-07-10 20:45:00+00:00
1783716600000,2546791732.2105,2679115.4668,2026-07-10 20:50:00+00:00
1783716900000,2545927603.3729,2655023.7475,2026-07-10 20:55:00+00:00
1783717200000,2545632141.4366,3627977.84,2026-07-10 21:00:00+00:00
1783717500000,2543975331.5314,5499540.4948,2026-07-10 21:05:00+00:00
1783717800000,2543047031.8019,7059567.7466,2026-07-10 21:10:00+00:00
1783718100000,2541002131.3174,9840100.893,2026-07-10 21:15:00+00:00
1783718400000,2540222374.7439,3551868.8355,2026-07-10 21:20:00+00:00
1783718700000,2542027458.8567,7361568.893,2026-07-10 21:25:00+00:00
1783719000000,2541564601.6218,5002124.2037,2026-07-10 21:30:00+00:00
1783719300000,2541400485.956,9940628.2374,2026-07-10 21:35:00+00:00
1783719600000,2540632789.7246,8582145.5556,2026-07-10 21:40:00+00:00
1783719900000,2541519877.8484,5504489.9653,2026-07-10 21:45:00+00:00
1783720200000,2541525839.6062,3521675.2144,2026-07-10 21:50:00+00:00
1783720500000,2541519739.0747,3950650.4802,2026-07-10 21:55:00+00:00
1783720800000,2541717207.5633,2599181.7621,2026-07-10 22:00:00+00:00
1783721100000,2542425637.4231,4963532.1366,2026-07-10 22:05:00+00:00
