ts,funding_rate,realized_rate,datetime_utc
1783267200000,2.11483321941e-05,2.11483321941e-05,2026-07-05 16:00:00+00:00
1783296000000,6.17667680351e-05,6.17667680351e-05,2026-07-06 00:00:00+00:00
1783324800000,9.8247928749e-05,9.8247928749e-05,2026-07-06 08:00:00+00:00
1783353600000,4.35732937955e-05,4.35732937955e-05,2026-07-06 16:00:00+00:00
1783382400000,0.0001,0.0001,2026-07-07 00:00:00+00:00
1783411200000,6.78140695912e-05,6.78140695912e-05,2026-07-07 08:00:00+00:00
1783440000000,5.89596545996e-05,5.89596545996e-05,2026-07-07 16:00:00+00:00
1783468800000,5.68819916406e-05,5.68819916406e-05,2026-07-08 00:00:00+00:00
1783497600000,4.44623992899e-05,4.44623992899e-05,2026-07-08 08:00:00+00:00
1783526400000,8.51580031502e-05,8.51580031502e-05,2026-07-08 16:00:00+00:00
1783555200000,7.23410745506e-05,7.23410745506e-05,2026-07-09 00:00:00+00:00
1783584000000,1.3105775059e-06,1.3105775059e-06,2026-07-09 08:00:00+00:00
1783612800000,3.51830663184e-05,3.51830663184e-05,2026-07-09 16:00:00+00:00
1783641600000,7.32355162048e-05,7.32355162048e-05,2026-07-10 00:00:00+00:00
1783670400000,8.40924532537e-05,8.40924532537e-05,2026-07-10 08:00:00+00:00
1783699200000,7.54950605994e-05,7.54950605994e-05,2026-07-10 16:00:00+00:00
1783728000000,8.22511513621e-05,8.22511513621e-05,2026-07-11 00:00:00+00:00
1783756800000,-2.15211796162e-05,-2.15211796162e-05,2026-07-11 08:00:00+00:00
1783785600000,3.4033691268e-05,3.4033691268e-05,2026-07-11 16:00:00+00:00
