ts,best_bid,best_ask,mid,spread_pct,bid_usd,ask_usd,imbalance,microprice,bids_json,asks_json
1783785344458,78.32,78.33,78.32499999999999,0.01276731567188652,2370092.5186,1797964.4529,0.13726493414366714,78.32600902994155,"[[78.32, 1911.19], [78.31, 4301.83], [78.3, 3986.89], [78.29, 3509.67], [78.28, 3339.2], [78.27, 2479.28], [78.26, 2730.32], [78.25, 3469.51], [78.24, 2759.0], [78.23, 1791.03]]","[[78.33, 1269.34], [78.34, 3345.25], [78.35, 2151.95], [78.36, 1925.47], [78.37, 1808.44], [78.38, 2688.83], [78.39, 2733.79], [78.4, 1967.9], [78.41, 2375.91], [78.42, 2673.13]]"
1783785369258,78.33,78.34,78.33500000000001,0.012765685836478094,2518738.1213,1677315.3163,0.20052719001626096,78.33746144821609,"[[78.33, 3262.66], [78.32, 3202.36], [78.31, 3899.42], [78.3, 4149.06], [78.29, 3954.28], [78.28, 3412.88], [78.27, 2075.2], [78.26, 2264.31], [78.25, 3100.59], [78.24, 2851.96]]","[[78.34, 1110.03], [78.35, 2364.45], [78.36, 1955.82], [78.37, 1640.62], [78.38, 1736.52], [78.39, 2790.52], [78.4, 1971.78], [78.41, 2284.58], [78.42, 3154.16], [78.43, 2388.62]]"
1783785371958,78.33,78.34,78.33500000000001,0.012765685836478094,2419883.4982,1739329.5859,0.16362564228835677,78.33511712851856,"[[78.33, 1989.34], [78.32, 2999.06], [78.31, 3991.02], [78.3, 4149.06], [78.29, 3954.28], [78.28, 3412.88], [78.27, 2175.2], [78.26, 2264.31], [78.25, 3123.68], [78.24, 2851.96]]","[[78.34, 1898.27], [78.35, 2362.01], [78.36, 1972.88], [78.37, 1624.99], [78.38, 1817.54], [78.39, 2714.15], [78.4, 1977.92], [78.41, 2478.2], [78.42, 2954.16], [78.43, 2388.62]]"
1783785374758,78.33,78.34,78.33500000000001,0.012765685836478094,2397629.0536,1739112.3717,0.15918729603754336,78.33486653792654,"[[78.33, 1801.86], [78.32, 2999.21], [78.31, 3991.02], [78.3, 4149.06], [78.29, 3954.39], [78.28, 3412.88], [78.27, 2175.2], [78.26, 2264.31], [78.25, 3023.83], [78.24, 2854.82]]","[[78.34, 1900.69], [78.35, 2355.24], [78.36, 1972.88], [78.37, 1624.99], [78.38, 1817.54], [78.39, 2714.15], [78.4, 2003.45], [78.41, 2454.25], [78.42, 2954.16], [78.43, 2388.62]]"
1783785377458,78.31,78.32,78.315,0.012768945923502402,2152288.3591,2335329.4531,-0.0407880309019155,78.31270074343385,"[[78.31, 2320.63], [78.3, 3667.38], [78.29, 3665.0], [78.28, 2976.06], [78.27, 2370.44], [78.26, 2373.88], [78.25, 3351.0], [78.24, 2523.85], [78.23, 1708.08], [78.22, 2542.65]]","[[78.32, 6271.93], [78.33, 4766.34], [78.34, 3356.84], [78.35, 1910.88], [78.36, 2517.09], [78.37, 1752.44], [78.38, 2043.76], [78.39, 3094.75], [78.4, 1897.85], [78.41, 2192.52]]"
1783785380208,78.32,78.33,78.32499999999999,0.01276731567188652,2463325.7187,1822178.0053,0.1496084835510459,78.32623269805316,"[[78.32, 3648.69], [78.31, 4461.8], [78.3, 4397.77], [78.29, 3546.64], [78.28, 3221.48], [78.27, 2218.28], [78.26, 2352.7], [78.25, 3380.65], [78.24, 2531.46], [78.23, 1708.08]]","[[78.33, 2205.42], [78.34, 3515.99], [78.35, 1932.55], [78.36, 1914.09], [78.37, 1704.69], [78.38, 1929.66], [78.39, 2874.27], [78.4, 2097.97], [78.41, 2336.44], [78.42, 2738.37]]"
1783785382958,78.32,78.33,78.32499999999999,0.01276731567188652,2363545.9802,1719478.6942999999,0.1577426876507602,78.32753739454053,"[[78.32, 2746.31], [78.31, 4568.47], [78.3, 4257.51], [78.29, 3534.64], [78.28, 3213.01], [78.27, 1990.43], [78.26, 2352.7], [78.25, 3290.68], [78.24, 2627.39], [78.23, 1612.14]]","[[78.33, 897.27], [78.34, 3553.45], [78.35, 1920.05], [78.36, 1878.8], [78.37, 1712.06], [78.38, 1929.66], [78.39, 2816.81], [78.4, 2155.43], [78.41, 2336.44], [78.42, 2738.37]]"
1783785385708,78.32,78.33,78.32499999999999,0.01276731567188652,2304319.807,1781647.1698,0.1279189577810393,78.32589999078255,"[[78.32, 2560.36], [78.31, 3714.65], [78.3, 4449.13], [78.29, 3545.89], [78.28, 3059.63], [78.27, 2224.66], [78.26, 2352.7], [78.25, 3290.68], [78.24, 2531.46], [78.23, 1707.94]]","[[78.33, 1779.24], [78.34, 3524.7], [78.35, 1824.24], [78.36, 1878.8], [78.37, 1716.53], [78.38, 1929.66], [78.39, 2907.8], [78.4, 2097.99], [78.41, 2231.53], [78.42, 2841.52]]"
1783785403508,78.31,78.32,78.315,0.012768945923502402,2043627.8355,2330523.8395,-0.06558894737000626,78.31237315515462,"[[78.31, 1865.72], [78.3, 3514.26], [78.29, 3240.18], [78.28, 2337.83], [78.27, 2434.96], [78.26, 2067.5], [78.25, 3485.82], [78.24, 2856.6], [78.23, 1731.03], [78.22, 2577.43]]","[[78.32, 5996.05], [78.33, 4675.07], [78.34, 3149.6], [78.35, 2935.73], [78.36, 2003.42], [78.37, 1816.74], [78.38, 2082.18], [78.39, 2819.11], [78.4, 1891.59], [78.41, 2373.46]]"
1783785406258,78.31,78.32,78.315,0.012768945923502402,2077142.2997,1981622.0576,0.023534315789533244,78.31498648213353,"[[78.31, 2244.64], [78.3, 3595.39], [78.29, 3148.63], [78.28, 2372.47], [78.27, 2441.36], [78.26, 2070.09], [78.25, 3494.07], [78.24, 2864.21], [78.23, 1731.03], [78.22, 2577.43]]","[[78.32, 2256.81], [78.33, 4445.06], [78.34, 2936.7], [78.35, 2477.46], [78.36, 2051.62], [78.37, 2074.3], [78.38, 2074.75], [78.39, 2894.48], [78.4, 1884.65], [78.41, 2192.52]]"
1783785409058,78.32,78.33,78.32499999999999,0.01276731567188652,2337709.7704,1700630.67,0.15775765064940805,78.32789683080874,"[[78.32, 3358.38], [78.31, 4313.98], [78.3, 3520.72], [78.29, 3246.2], [78.28, 2714.05], [78.27, 2067.7], [78.26, 2446.96], [78.25, 3518.39], [78.24, 2956.03], [78.23, 1721.19]]","[[78.33, 894.44], [78.34, 3097.63], [78.35, 2000.87], [78.36, 1994.15], [78.37, 1941.87], [78.38, 1941.7], [78.39, 2659.68], [78.4, 2197.82], [78.41, 2192.52], [78.42, 2777.09]]"
1783785411758,78.32,78.33,78.32499999999999,0.01276731567188652,2195143.8563,1970457.0034,0.05393864185926389,78.32335564313107,"[[78.32, 2088.71], [78.31, 3618.36], [78.3, 3720.24], [78.29, 3066.45], [78.28, 2649.4], [78.27, 2260.72], [78.26, 2453.97], [78.25, 3522.21], [78.24, 2846.1], [78.23, 1817.13]]","[[78.33, 4135.76], [78.34, 3290.52], [78.35, 1985.93], [78.36, 2036.7], [78.37, 1831.13], [78.38, 1955.4], [78.39, 2879.98], [78.4, 2146.62], [78.41, 2206.52], [78.42, 2673.94]]"
1783785414508,78.33,78.34,78.33500000000001,0.012765685836478094,2177699.9381,1998099.4378000002,0.04300984892534279,78.33238498877813,"[[78.33, 1370.82], [78.32, 3837.59], [78.31, 3515.34], [78.3, 3153.74], [78.29, 2784.88], [78.28, 2694.79], [78.27, 2204.66], [78.26, 2113.87], [78.25, 3604.13], [78.24, 2537.7]]","[[78.34, 4376.88], [78.35, 3653.83], [78.36, 2122.21], [78.37, 1675.67], [78.38, 1895.96], [78.39, 2458.17], [78.4, 1973.41], [78.41, 2508.07], [78.42, 2462.65], [78.43, 2365.46]]"
1783785417208,78.33,78.34,78.33500000000001,0.012765685836478094,2221099.8721,2015699.9558,0.04847996710805373,78.33279719633417,"[[78.33, 1694.88], [78.32, 4032.32], [78.31, 3515.34], [78.3, 3153.74], [78.29, 2666.51], [78.28, 2822.61], [78.27, 2204.66], [78.26, 2113.87], [78.25, 3534.12], [78.24, 2633.62]]","[[78.34, 4364.33], [78.35, 3842.87], [78.36, 2035.07], [78.37, 1669.29], [78.38, 1895.97], [78.39, 2466.2], [78.4, 2016.9], [78.41, 2598.12], [78.42, 2462.65], [78.43, 2365.46]]"
1783785419908,78.32,78.33,78.32499999999999,0.01276731567188652,2009700.2686,2147271.3034,-0.03309405234489297,78.32277185672388,"[[78.32, 1931.84], [78.31, 3542.65], [78.3, 3032.99], [78.29, 2398.04], [78.28, 2749.58], [78.27, 2126.21], [78.26, 2387.46], [78.25, 3426.83], [78.24, 2596.94], [78.23, 1481.73]]","[[78.33, 5037.64], [78.34, 3909.66], [78.35, 3289.34], [78.36, 1951.42], [78.37, 1741.2], [78.38, 2172.77], [78.39, 2548.68], [78.4, 1939.31], [78.41, 2378.52], [78.42, 2431.33]]"
1783785423658,78.32,78.33,78.32499999999999,0.01276731567188652,2007067.7702000001,2111005.9384,-0.025239511372256385,78.32305921943355,"[[78.32, 1954.52], [78.31, 3519.15], [78.3, 3022.32], [78.29, 2391.38], [78.28, 2741.29], [78.27, 2119.02], [78.26, 2393.85], [78.25, 3420.44], [78.24, 2596.94], [78.23, 1481.73]]","[[78.33, 4434.43], [78.34, 4047.58], [78.35, 3291.63], [78.36, 1951.42], [78.37, 1741.2], [78.38, 2172.77], [78.39, 2548.68], [78.4, 1939.31], [78.41, 2378.52], [78.42, 2431.33]]"
1783785426358,78.32,78.33,78.32499999999999,0.01276731567188652,2043029.558,1979852.5931,0.015704403591023708,78.32443579813676,"[[78.32, 2196.9], [78.31, 3604.16], [78.3, 3024.82], [78.29, 2387.5], [78.28, 2748.56], [78.27, 2070.38], [78.26, 2444.99], [78.25, 3520.87], [78.24, 2620.03], [78.23, 1481.73]]","[[78.33, 2755.76], [78.34, 4018.6], [78.35, 3268.44], [78.36, 1969.8], [78.37, 1741.18], [78.38, 2210.83], [78.39, 2399.75], [78.4, 2088.25], [78.41, 2378.52], [78.42, 2431.33]]"
1783785429158,78.32,78.33,78.32499999999999,0.01276731567188652,2002038.3349,2007292.0389,-0.0013103694408252867,78.32333053985117,"[[78.32, 1549.93], [78.31, 3563.62], [78.3, 3214.21], [78.29, 2489.09], [78.28, 2875.07], [78.27, 2093.47], [78.26, 2368.08], [78.25, 3421.42], [78.24, 2520.03], [78.23, 1481.55]]","[[78.33, 3103.76], [78.34, 4056.64], [78.35, 3272.44], [78.36, 1968.09], [78.37, 1741.18], [78.38, 2172.79], [78.39, 2399.75], [78.4, 2051.18], [78.41, 2415.62], [78.42, 2431.33]]"
1783785431858,78.32,78.33,78.32499999999999,0.01276731567188652,2005183.045,2035213.6017999998,-0.007432576408997901,78.32322802546682,"[[78.32, 1512.43], [78.31, 3668.16], [78.3, 3214.21], [78.29, 2489.09], [78.28, 2769.99], [78.27, 2221.32], [78.26, 2418.98], [78.25, 3330.55], [78.24, 2520.04], [78.23, 1471.84]]","[[78.33, 3172.88], [78.34, 4101.17], [78.35, 3274.06], [78.36, 1966.47], [78.37, 1741.18], [78.38, 2172.79], [78.39, 2348.68], [78.4, 2102.24], [78.41, 2415.62], [78.42, 2673.86]]"
