ts,open,high,low,close,volume
1783758960000,1801.0,1801.0,1800.99,1801.0,297.159
1783759020000,1801.0,1801.0,1800.99,1801.0,233.022
1783759080000,1801.0,1801.0,1800.9,1800.91,276.103
1783759140000,1800.91,1801.0,1800.9,1800.99,265.719
1783759200000,1801.0,1802.5,1800.99,1802.49,3204.199
1783759260000,1802.49,1802.5,1801.43,1801.92,821.735
1783759320000,1801.92,1802.29,1801.08,1801.11,1025.953
1783759380000,1801.11,1801.98,1801.1,1801.97,1051.308
1783759440000,1801.97,1801.98,1801.54,1801.54,216.087
1783759500000,1801.55,1801.7,1801.54,1801.69,420.709
1783759560000,1801.7,1801.7,1801.15,1801.15,246.551
1783759620000,1801.15,1801.16,1800.86,1800.86,323.455
1783759680000,1800.87,1801.0,1800.86,1800.86,671.802
1783759740000,1800.86,1800.87,1800.0,1800.01,726.787
1783759800000,1800.0,1800.01,1799.54,1799.95,295.753
1783759860000,1799.95,1799.96,1799.83,1799.84,425.958
1783759920000,1799.83,1799.84,1799.68,1799.72,257.549
1783759980000,1799.71,1799.72,1799.71,1799.72,145.398
1783760040000,1799.71,1799.99,1799.61,1799.98,538.144
1783760100000,1799.99,1800.15,1799.99,1800.15,376.296
1783760160000,1800.15,1800.41,1800.14,1800.22,138.49
1783760220000,1800.22,1800.22,1800.19,1800.19,325.907
1783760280000,1800.19,1800.2,1800.19,1800.2,194.858
1783760340000,1800.2,1800.49,1800.19,1800.49,438.243
1783760400000,1800.48,1800.67,1800.36,1800.67,404.608
1783760460000,1800.67,1800.7,1800.66,1800.7,128.411
1783760520000,1800.7,1801.0,1800.69,1800.99,240.687
1783760580000,1801.0,1801.71,1801.0,1801.35,594.643
1783760640000,1801.36,1801.36,1801.35,1801.36,229.557
1783760700000,1801.35,1801.36,1801.27,1801.35,390.783
1783760760000,1801.36,1801.36,1801.06,1801.07,138.018
1783760820000,1801.06,1801.07,1800.5,1800.51,311.59
1783760880000,1800.51,1800.51,1800.0,1800.01,461.377
1783760940000,1800.0,1800.01,1799.85,1799.86,362.383
1783761000000,1799.85,1800.0,1799.72,1799.99,206.86
1783761060000,1800.0,1800.0,1799.3,1799.31,436.754
1783761120000,1799.3,1799.31,1798.92,1798.92,637.954
1783761180000,1798.92,1798.92,1797.96,1797.96,1584.638
1783761240000,1797.95,1797.96,1797.62,1797.63,1050.313
1783761300000,1797.62,1798.35,1797.62,1798.34,941.163
1783761360000,1798.35,1798.5,1798.27,1798.5,560.369
1783761420000,1798.5,1798.51,1798.49,1798.5,556.461
1783761480000,1798.51,1799.0,1798.5,1798.5,584.904
1783761540000,1798.51,1798.51,1797.56,1797.56,725.338
1783761600000,1797.57,1797.57,1797.46,1797.47,842.435
1783761660000,1797.46,1797.47,1797.17,1797.17,560.904
1783761720000,1797.17,1797.45,1797.17,1797.18,528.856
1783761780000,1797.18,1797.33,1797.15,1797.32,962.843
1783761840000,1797.32,1797.93,1797.32,1797.93,812.125
